case_id,child_id,episode_id,note_date,note_type,note_text,author
,259,1,2023-07-07,court,Educational needs assessment conducted. IEP recommended.,M. Johnson
,259,1,2023-05-23,visit,Medical examination completed. All immunizations up to date.,A. Williams
,259,1,2024-06-17,assessment,Child expressed desire to maintain contact with siblings.,M. Johnson
3.0,61,2,2025-05-19,service,Educational needs assessment conducted. IEP recommended.,A. Williams
3.0,61,2,2026-12-23,service,Monthly visit conducted. Child is adjusting well to school.,K. Brown
3.0,61,2,2026-11-14,court,Educational needs assessment conducted. IEP recommended.,A. Williams
,286,3,2023-11-21,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,286,3,2024-05-28,review,Parent-child visit supervised. Positive interaction observed.,J. Smith
,286,3,2024-07-17,review,Case review meeting held with team. Progress toward goals noted.,K. Brown
117.0,206,4,2023-06-30,service,Educational needs assessment conducted. IEP recommended.,K. Brown
117.0,206,4,2024-08-21,visit,Safety concerns noted during home visit. Follow-up required.,J. Smith
140.0,206,4,2024-01-01,visit,Child expressed desire to maintain contact with siblings.,R. Davis
117.0,206,4,2025-09-14,review,Case review meeting held with team. Progress toward goals noted.,R. Davis
117.0,206,4,2023-08-30,visit,Court hearing scheduled for next month regarding permanency.,R. Davis
117.0,206,4,2023-12-22,review,Educational needs assessment conducted. IEP recommended.,A. Williams
117.0,206,4,2023-08-27,assessment,Case review meeting held with team. Progress toward goals noted.,M. Johnson
158.0,366,5,2024-05-23,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
158.0,366,5,2026-09-27,court,Medical examination completed. All immunizations up to date.,M. Johnson
158.0,366,5,2026-04-10,assessment,Therapeutic services initiated. Child responding well to counseling.,J. Smith
158.0,366,5,2026-10-24,review,Educational needs assessment conducted. IEP recommended.,M. Johnson
158.0,366,5,2026-08-26,review,Safety concerns noted during home visit. Follow-up required.,R. Davis
,311,6,2023-06-08,visit,Parent-child visit supervised. Positive interaction observed.,J. Smith
,311,6,2023-12-08,assessment,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
,311,6,2023-08-19,review,Medical examination completed. All immunizations up to date.,M. Johnson
,311,6,2024-11-22,court,Court hearing scheduled for next month regarding permanency.,R. Davis
,311,6,2025-03-31,visit,Medical examination completed. All immunizations up to date.,A. Williams
,311,6,2024-05-04,service,Court hearing scheduled for next month regarding permanency.,K. Brown
178.0,84,7,2023-10-20,service,Court hearing scheduled for next month regarding permanency.,R. Davis
178.0,84,7,2024-02-20,court,Parent-child visit supervised. Positive interaction observed.,A. Williams
178.0,84,7,2025-02-23,service,Court hearing scheduled for next month regarding permanency.,A. Williams
178.0,84,7,2024-10-13,visit,Case review meeting held with team. Progress toward goals noted.,M. Johnson
178.0,84,7,2023-10-14,visit,Medical examination completed. All immunizations up to date.,J. Smith
178.0,84,7,2025-02-07,visit,Safety concerns noted during home visit. Follow-up required.,J. Smith
